Date,Open,High,Low,Close,rsi,ema_fast,ema_slow,volatility,target
2001-01-15,6.419,6.435,6.304,6.385,6.446.515.398.404.860,619.345.845.300.105,6.132.241.429.708.800,24.049.067.099.408.500,0
2001-01-22,6.386,6.428,6.286,6.321,598.175.041.396.243,621.046.399.260.091,6.141.020.898.094.430,2.416.200.888.858.450,0
2001-01-29,6.323,6.428,6.268,6.371,62.115.477.091.147.800,6.231.868.793.587.450,6.151.717.600.508.650,2.405.391.345.159.600,0
2001-02-05,6.365,6.408,6.336,6.399,6.337.851.578.574.890,6.254.152.954.442.460,6.163.219.107.461.730,2.304.173.948.833.010,0
2001-02-12,0.64,6.421,6.216,6.302,5.636.748.494.910.580,6.260.532.560.516.790,6.169.674.032.696.070,24.048.750.768.641.600,0
2001-02-19,6.304,6.383,6.237,6.309,56.739.399.648.812.800,6.266.994.885.781.220,6.176.154.310.245.090,239.591.734.650.243,0
2001-02-26,6.311,6.413,6.265,6.363,5.960.023.177.113.550,6.279.795.567.677.060,6.184.844.807.442.990,23.720.387.172.278.300,0
2001-03-05,6.363,6.385,6.304,6.352,5.874.796.362.376.600,628.942.282.532.012,6.192.619.467.561.920,22.975.066.418.942.100,0
2001-03-12,6.351,6.369,6.216,6.264,5.230.420.076.292.950,6.286.033.115.277.430,619.593.949.232.649,2.337.836.485.826.680,0
2001-03-19,6.263,6.345,6.215,6.229,4.995.719.150.394.210,6.278.428.699.907.110,6.197.477.190.357.810,23.321.182.110.616.000,1
2001-03-26,6.228,626,6.127,6.182,46.912.908.067.524.400,6.265.571.539.919.490,6.196.757.321.038.840,23.356.742.660.389.100,1
2001-04-02,6.183,6.314,6.139,6.268,5.260.421.569.253.060,6.265.895.334.596.890,6.200.070.934.013.780,2.338.508.501.965.570,0
2001-04-09,6.269,628,6.147,6.188,47.502.504.688.718.700,6.255.509.289.983.970,6.199.509.495.222.440,235.306.845.939.333,0
2001-04-16,6.189,6.267,6.121,6.255,51.725.160.122.749.300,6.255.441.384.652.780,6.202.090.448.933.030,23.283.115.124.750.100,0
2001-04-23,6.254,6.279,6.178,6.211,489.410.712.798.227,6.249.515.866.699.070,6.202.504.846.657.070,2.293.472.993.041.210,0
2001-04-30,6.212,625,6.183,6.207,48.684.525.904.871.400,6.243.847.084.472.530,6.202.713.923.556.740,22.081.278.035.987.800,0
2001-05-07,6.208,6.247,6.156,6.168,4.614.471.166.522.940,6.233.734.139.876.190,6.201.099.322.461.080,2.168.751.628.221.570,0
2001-05-14,6.169,6.218,6.104,6.111,4.264.319.887.980.110,6.217.369.587.892.700,6.196.908.656.300.100,21.658.739.574.691.800,1
2001-05-21,612,612,601,6.047,3.905.935.827.815.660,6.194.653.642.840.340,6.189.936.160.658.230,21.623.889.626.878.000,1
2001-05-28,6.048,6.057,595,5.967,3.508.953.463.121.920,6.164.299.823.794.960,6.179.567.036.906.690,21.629.385.279.256.200,1
2001-06-04,5.968,6.172,5.958,6.135,4.722.095.419.402.010,6.160.393.180.622.300,6.177.494.151.469.170,2.202.599.889.972.270,0
2001-06-11,6.134,6.535,6.094,6.141,4.759.763.581.726.810,6.157.807.423.205.990,6.175.796.749.075.250,2.556.218.789.689.190,0
2001-06-18,6.139,6.161,0.6,6.064,4.332.428.577.152.140,6.145.299.766.778.520,6.170.596.900.281.050,25.934.156.454.633.600,1
2001-06-25,6.065,6.125,5.983,6.004,40.288.901.223.220.500,6.126.459.797.874.720,6.162.848.207.244.730,26.011.723.394.304.700,1
2001-07-02,6.003,604,5.946,6.001,4.013.747.987.951.860,6.109.731.824.824.760,6.155.320.383.651.950,2.528.467.915.314.430,1
2001-07-09,6.002,6.105,5.998,6.087,46.361.104.355.304.000,6.106.700.914.848.120,6.152.142.691.389.070,2.440.251.677.784.330,1
2001-07-16,6.078,618,6.069,6.107,4.772.230.162.878.310,6.106.740.792.868.370,6.150.043.031.324.460,23.883.547.628.570.400,1
2001-07-23,6.108,6.175,6.082,6.153,5.081.398.761.216.080,6.112.908.687.152.590,6.150.180.564.751.230,2.309.139.246.569.430,1
2001-07-30,6.154,6.204,612,6.187,5.302.529.320.879.240,6.122.787.528.865.580,6.151.893.096.623.260,2.229.395.035.602.780,1
2001-08-06,618,6.284,6.159,6.277,58.361.694.420.733.700,6.143.349.191.683.500,6.157.712.022.361.720,21.827.132.172.849.600,0
2001-08-13,6.276,636,6.268,6.344,618.373.732.055.887,617.010.263.279.237,6.166.376.579.461.170,2.108.984.656.409.540,0
2001-08-20,6.342,6.362,6.201,6.321,5.998.624.714.857.910,6.190.222.281.753.380,6.173.568.366.462.980,2.147.401.886.946.090,0
2001-08-27,632,6.323,6.239,6.254,548.364.953.045.132,6.198.725.977.519.600,6.177.309.372.674.000,21.113.168.173.057.400,0
2001-09-03,6.251,6.271,6.067,6.202,5.116.517.483.230.620,6.199.162.513.850.320,6.178.457.773.944.980,22.118.933.970.676.600,0
2001-09-10,6.201,6.295,6.139,6.258,5.468.381.843.758.370,6.207.007.512.003.610,6.182.157.412.366.140,22.135.793.844.676.200,1
2001-09-17,6.259,6.343,6.228,6.274,55.666.680.413.504.600,6.215.939.843.736.460,6.186.429.160.628.180,2.181.150.521.926.990,0
2001-09-24,6.277,6.293,6.165,6.183,4.913.883.084.380.330,6.211.547.864.571.600,6.186.269.664.785.010,22.030.336.506.713.000,1
2001-10-01,6.182,6.284,6.155,6.194,49.903.577.355.381.400,6.209.208.149.295.380,618.662.921.526.013,2.190.802.640.888.740,0
2001-10-08,6.193,6.299,6.186,6.278,554.164.402.452.085,6.218.380.396.056.000,619.087.901.920.152,21.356.643.408.915.900,0
2001-10-15,6.279,6.294,6.216,6.265,5.441.836.176.879.840,6.224.596.343.248.530,6.194.326.506.680.510,20.761.613.215.998.800,0
2001-10-22,6.267,6.273,6.199,6.212,5.043.053.025.907.960,6.222.916.830.815.390,619.514.852.962.561,2.029.401.145.682.350,1
2001-10-29,6.208,6.244,6.131,6.171,4.752.890.189.374.890,6.215.994.586.706.670,6.194.025.342.201.160,2.027.760.248.636.750,1
2001-11-05,6.164,6.173,6.113,6.138,45.271.108.744.061.100,620.559.530.847.912,6.191.419.512.331.340,19.628.661.083.925.200,1
2001-11-12,6.138,6.202,6.094,6.191,49.426.359.177.537.500,6.203.649.267.348.570,6.191.400.000.129.880,19.316.627.622.248.100,1
2001-11-19,619,6.257,6.175,6.223,5.180.558.705.657.370,6.206.229.365.035.420,6.192.869.767.565.700,1.878.584.216.295.990,0
2001-11-26,6.224,6.299,6.206,6.287,5.623.970.036.096.730,6.216.998.783.030.700,6.197.247.917.911.480,1.832.302.307.643.080,0
2001-12-03,6.287,6.299,6.197,6.206,4.997.304.727.986.810,6.215.532.278.626.610,6.197.654.991.496.990,1.841.028.266.492.990,0
2001-12-10,6.206,6.233,618,6.213,504.865.158.288.319,6.215.194.641.476.390,6.198.368.712.822.710,17.685.323.225.968.700,0
2001-12-17,6.212,6.226,6.153,6.171,47.346.487.970.018.400,6.209.302.022.612.870,6.197.095.749.435.610,17.378.821.117.650.200,0
2001-12-24,617,6.186,6.038,6.101,4.259.184.424.844.140,6.194.861.752.931.150,6.192.626.179.694.420,1.805.536.758.050.500,1
2001-12-31,6.094,628,6.085,6.189,4.946.271.016.731.390,6.194.080.185.873.670,6.192.457.520.173.750,18.777.847.435.687.600,0
2002-01-07,619,622,6.149,6.169,48.055.015.054.517.600,6.190.736.161.090.510,6.191.366.472.723.810,18.315.185.039.635.000,0
2002-01-14,6.169,618,612,6.154,469.752.099.630.112,6.185.838.006.278.440,6.189.628.497.248.280,17.744.822.120.613.900,0
2002-01-21,6.153,6.213,6.114,6.134,4.550.693.412.972.410,6.178.926.272.107.980,6.187.041.125.283.240,17.683.884.429.798.200,0
2002-01-28,6.134,6.147,6.066,609,4.236.933.179.306.680,6.167.069.435.826.920,61.825.275.845.724,17.489.424.257.576.400,1
2002-02-04,6.089,6.195,6.071,6.159,4.837.995.865.607.820,616.599.351.105,6.181.433.278.313.210,1.749.632.034.968.950,0
2002-02-11,6.158,6.178,608,6.096,4.387.999.670.859.300,615.666.104.291,6.177.459.637.461.440,17.562.779.825.630.300,1
2002-02-18,6.096,6.135,6.083,6.112,4.527.224.001.247.500,6.150.706.237.188.660,6.174.415.003.160.900,16.873.307.493.707.300,1
2002-02-25,6.111,6.139,6.082,0.61,4.438.291.758.525.450,6.143.945.405.563.510,6.170.953.840.223.190,1.636.634.098.618.280,1
2002-03-04,6.094,6.185,6.086,6.147,4.863.856.560.303.620,614.435.268.482.171,6.169.839.708.119.780,16.231.504.801.462.900,0
2002-03-11,6.148,6.226,6.142,6.193,52.471.703.176.083.000,6.150.838.993.512.140,6.170.916.930.997.930,15.928.995.642.427.000,0
2002-03-18,6.186,6.213,6.138,6.154,4.912.432.112.584.990,6.151.260.461.043.860,6.170.130.096.998.030,15.755.461.142.301.800,0
2002-03-25,6.153,6.164,6.101,6.109,4.551.621.847.114.230,614.562.573.290.468,6.167.286.836.672.540,15.474.456.917.269.900,1
2002-04-01,611,6.151,6.097,6.138,48.158.795.031.716.000,614.460.896.851.739,6.165.924.658.222.650,14.929.653.039.599.000,1
2002-04-08,6.137,6.147,6.098,6.124,469.742.943.322.416,6.141.861.106.048.400,6.163.974.674.119.270,1.446.646.373.334.150,1
2002-04-15,6.121,6.163,611,615,4.946.041.048.574.420,6.142.946.291.908.610,6.163.324.689.276.520,13.991.917.662.471.300,1
2002-04-22,6.151,6.192,6.115,6.185,5.267.693.734.207.850,6.148.553.452.987.460,616.433.284.326.366,13.808.220.546.420.800,1
2002-04-29,6.182,6.248,6.155,6.238,5.712.668.186.204.430,6.160.479.659.255.800,6.167.759.222.646.740,13.777.881.796.305.700,1
2002-05-06,6.235,6.256,6.205,6.236,5.690.921.971.391.700,6.170.549.038.021.690,6.170.933.212.291.080,13.382.016.246.559.300,1
2002-05-13,6.237,6.318,6.208,6.312,6.271.715.767.407.670,6.189.409.166.285.470,6.177.494.458.231.030,13.521.334.567.672.300,1
2002-05-20,6.307,6.357,6.287,6.318,6.313.955.438.994.480,6.206.554.610.780.740,6.184.029.599.708.650,13.334.991.060.517.800,1
2002-05-27,6.317,6.422,6.305,6.399,6.835.235.763.285.760,6.232.213.996.009.970,6.194.028.222.978.020,13.531.758.932.920.000,1
2002-06-03,0.64,649,6.385,6.461,7.165.647.841.453.110,626.271.879.654.198,6.206.445.514.932.530,13.605.439.564.340.000,0
2002-06-10,6.461,6.484,6.388,6.397,6.420.478.595.669.900,6.280.622.957.003.040,6.215.308.514.237.990,13.831.948.964.108.300,0
2002-06-17,0.64,649,6.362,6.477,6.860.038.865.016.580,6.306.806.562.735.970,6.227.480.211.250.180,14.096.900.105.915.600,0
2002-06-24,6.491,6.527,6.416,6.476,6.848.717.535.832.290,6.329.365.687.704.510,6.239.039.271.192.030,14.316.300.690.662.200,0
2002-07-01,6.476,6.502,6.383,639,5.940.704.783.457.040,6.337.450.262.677.240,6.246.060.700.438.910,14.802.824.978.151.900,0
2002-07-08,639,6.445,6.349,6.387,5.911.262.571.790.910,6.344.056.894.320.270,6.252.616.016.697.570,14.825.545.985.540.700,0
2002-07-15,6.389,6.449,6.379,6.408,6.058.519.117.023.860,6.352.582.641.744.240,6.259.843.178.711.630,1.450.173.788.038.870,0
2002-07-22,6.406,6.426,6.292,6.306,509.810.279.158.146,634.637.162.284.501,6.261.990.007.608.770,15.201.540.170.222.200,1
2002-07-29,6.305,633,6.238,6.281,4.893.352.706.152.160,6.337.655.406.465.670,6.262.874.193.301.380,15.218.139.287.129.800,1
2002-08-05,6.282,6.379,6.208,6.363,552.779.961.480.804,6.341.034.685.603.580,6.267.531.207.566.430,15.868.601.145.147.300,0
2002-08-12,6.375,642,6.358,6.393,5.736.497.491.779.910,6.347.963.394.189.770,6.273.366.965.354.040,1.535.870.503.592.590,0
2002-08-19,6.392,6.427,6.362,6.387,5.679.413.420.621.110,6.353.168.274.964.470,6.278.652.222.779.440,15.001.975.182.074.800,0
2002-08-26,6.393,6.415,6.322,6.329,5.146.294.392.515.160,6.349.945.838.302.540,6.280.993.979.859.460,151.076.563.815.414,0
2002-09-02,6.329,6.379,6.279,6.294,4.850.408.826.369.970,6.342.486.393.195.530,6.281.598.911.028.790,15.241.416.361.433.500,0
2002-09-09,6.294,637,6.242,626,4.575.216.476.140.980,6.331.488.207.436.130,6.280.594.310.515.820,1.569.013.201.192.620,1
2002-09-16,6.262,6.346,6.243,6.307,499.771.937.022.976,6.328.223.113.111.310,6.281.822.482.119.740,156.273.408.585.762,0
2002-09-23,6.308,633,6.253,6.284,4.800.674.907.648.010,6.322.326.698.029.800,6.281.923.762.021.140,15.439.452.854.591.200,1
2002-09-30,6.282,6.305,6.244,6.258,4.580.805.688.609.040,6.313.749.804.959.160,6.280.811.028.903.880,15.092.450.607.191.500,1
2002-10-07,6.257,6.341,6.246,6.321,5.159.327.482.167.110,6.314.716.497.631.270,6.282.680.283.373.470,14.948.258.940.690.400,1
2002-10-14,632,6.359,6.245,6.286,4.849.584.342.866.680,631.088.763.128.044,6.282.834.688.797.960,15.253.207.603.442.500,1
2002-10-21,6.285,6.331,6.264,6.302,4.997.439.862.006.700,6.309.702.613.776.380,6.283.726.098.621.310,14.887.129.017.297.400,1
2002-10-28,6.301,6.395,6.244,637,5.578.402.354.268.870,6.317.742.265.272.860,6.287.738.838.220.320,15.369.398.204.430.400,1
2002-11-04,6.371,643,6.355,6.365,55.275.705.128.212.200,6.324.043.296.569.810,6.291.332.380.628.670,15.124.451.411.838.000,1
2002-11-11,6.366,6.395,6.328,6.385,5.696.495.144.014.890,6.332.170.857.027.170,629.568.901.408.781,14.749.666.988.170.200,1
2002-11-18,6.385,6.396,6.296,6.314,4.977.720.105.639.520,6.329.748.076.090.210,6.296.540.687.851.160,14.981.403.099.156.800,1
2002-11-25,6.314,6.425,6.301,6.385,55.785.294.456.650.800,6.337.114.999.278.180,6.300.655.074.462.740,15.143.791.578.308.400,1
2002-12-02,6.386,642,6.335,6.402,57.108.366.832.537.200,6.345.766.332.707.760,630.536.879.192.959,14.973.115.766.919.800,1
2002-12-09,6.401,6.464,6.378,6.437,59.777.036.020.194.600,6.357.930.821.680.060,6.311.491.173.700.300,14.782.313.553.537.200,1
2002-12-16,6.436,6.459,6.373,6.408,56.632.870.710.503.100,636.460.671.212.272,6.315.979.956.318.890,1.474.717.741.744.190,1
2002-12-23,6.408,6.509,6.314,6.499,63.177.849.212.924.800,6.382.525.817.173.020,6.324.492.516.490.110,15.645.251.660.503.600,1
2002-12-30,0.65,6.627,6.466,647,6.006.668.793.875.920,6.394.189.041.549.950,6.331.260.306.420.800,16.370.284.577.621.700,1
2003-01-06,6.471,6.591,6.467,6.571,6.629.245.502.662.660,641.776.383.600.996,6.342.410.989.843.090,16.315.244.861.879.600,1
2003-01-13,657,6.628,6.533,6.614,6.854.115.771.246.390,6.443.928.657.875.290,6.355.043.036.827.130,16.077.337.701.805.100,1
2003-01-20,6.615,6.672,6.591,6.628,6.926.019.318.031.630,6.468.471.503.491.920,636.773.870.953.285,15.770.342.812.705.900,1
2003-01-27,6.628,6.653,6.516,6.535,595.268.877.770.333,6.477.341.969.693.000,6.375.518.304.438.290,16.349.719.292.971.800,1
2003-02-03,6.541,6.641,6.511,6.624,6.464.715.639.527.760,6.496.896.373.733.930,6.387.075.592.603.950,1.637.972.742.553.510,1
2003-02-10,6.623,6.707,6.582,668,6.743.849.971.110.290,652.131.019.056.941,6.400.699.983.645.630,16.418.852.524.248.000,1
2003-02-17,6.681,6.831,6.667,6.792,7.217.109.810.301.760,6.557.402.165.160.150,6.418.899.984.406.300,16.719.387.863.933.400,0
2003-02-24,6.792,6.869,6.783,6.856,7.445.582.242.066.350,6.597.215.209.805.460,6.439.230.217.689.730,16.276.203.021.689.700,0
2003-03-03,6.857,6.915,681,6.867,7.483.818.648.404.330,663.318.651.516.474,6.459.126.486.634.390,16.181.587.123.896.400,0
2003-03-10,6.867,6.927,673,6.798,679.656.693.566.737,6.655.161.646.476.100,6.474.888.045.395.580,1.724.820.812.988.440,1
2003-03-17,6.797,6.847,6.709,6.765,6.489.621.299.903.660,6.669.806.760.279.290,6.488.381.624.679.510,17.551.400.541.341.000,1
2003-03-24,6.764,6.974,6.745,6.854,6.896.681.767.857.390,6.694.365.858.908.720,6.505.387.130.508.370,1.847.261.161.999.490,1
2003-03-31,6.853,6.996,6.815,6.855,6.901.030.042.826.880,6.715.783.744.387.550,6.521.648.194.205.650,19.036.643.123.526.000,1
2003-04-07,6.855,6.938,6.809,6.836,6.708.691.297.347.410,6.731.812.578.469.210,653.626.920.842.865,19.073.920.128.239.300,1
2003-04-14,6.835,6.942,6.806,6.931,7.138.178.382.202.890,6.758.370.901.339.980,6.554.628.780.129.640,18.870.304.573.205.000,1
2003-04-21,6.922,6.976,6.886,6.922,7.044.394.384.727.980,6.780.188.114.494.650,6.571.715.813.611.980,18.473.924.267.960.200,1
2003-04-28,6.924,7.011,688,6.994,7.344.927.540.559.260,6.808.696.365.895.360,6.591.356.938.560.260,1.831.564.350.235.580,1
2003-05-05,6.995,7.194,6.982,7.189,7.952.239.537.843.510,685.940.351.710.932,6.619.154.290.255.130,18.652.454.528.954.900,0
2003-05-12,7.189,7.214,701,7.162,7.689.954.749.819.230,6.899.749.714.828.070,6.644.402.927.917.680,19.419.978.885.711.600,0
2003-05-19,7.166,7.245,7.097,723,7.879.635.799.673.720,6.943.783.086.184.330,6.671.640.001.037.790,1.932.539.571.362.450,0
2003-05-26,7.231,7.255,7.145,7.204,7.621.933.822.895.020,6.978.478.674.693.080,6.696.400.931.222.080,19.100.439.667.680.300,0
2003-06-02,7.206,7.225,7.026,7.027,6.147.857.420.348.700,6.984.948.184.734.010,6.711.777.632.095.470,20.205.679.885.315.800,0
2003-06-09,7.027,7.153,7.002,709,6.413.716.447.446.480,6.998.955.093.436.140,6.729.369.370.137.540,20.116.956.107.228.300,0
2003-06-16,709,7.123,6.922,6.972,5.629.960.979.327.530,6.995.361.080.977.990,6.740.654.515.712.540,21.055.444.680.797.000,1
2003-06-23,6.973,6.977,6.869,6.924,5.343.890.969.876.420,6.985.846.270.180.920,6.749.182.212.656.140,2.080.116.039.540.230,1
2003-06-30,6.923,6.988,6.858,6.878,507.761.732.081.757,6.971.466.767.490.130,6.755.173.737.648.880,2.079.460.442.727.280,1
2003-07-07,6.878,6.995,6.842,6.923,53.231.253.482.450.700,6.965.004.531.824.780,6.762.979.610.316.370,2.076.235.282.247.750,1
2003-07-14,6.929,7.128,6.911,7.122,6.220.794.125.890.660,6.985.937.260.914.810,6.779.678.233.092.360,20.916.987.520.260.700,0
2003-07-21,7.122,7.152,707,7.099,60.756.457.187.583.500,7.001.012.292.792.830,6.794.530.408.297.360,2.031.091.105.941.340,0
2003-07-28,7.099,7.103,695,0.7,5.482.653.139.728.420,7.000.877.320.420.450,6.804.087.133.492.830,2.068.809.233.612.330,0
2003-08-04,6.997,7.078,6.981,7.045,568.863.709.821.527,7.006.760.344.364.390,6.815.292.383.097.820,200.711.386.250.352,0
2003-08-11,7.054,7.073,7.004,7.048,5.702.705.297.880.310,7.012.258.965.115.810,6.826.115.993.186.290,19.328.839.295.583.800,0
2003-08-18,7.048,7.053,6.889,6.913,492.405.255.190.738,6.999.024.436.433.700,6.830.157.109.782.280,19.993.238.118.850.300,1
2003-08-25,6.909,6.977,6.886,6.959,5.166.242.702.863.590,699.368.784.490.921,6.836.149.802.350.540,19.376.473.595.374.500,0
2003-09-01,6.958,6.997,6.843,698,5.277.032.673.761.720,6.991.862.798.921.310,6.842.840.509.217.960,1.951.423.901.711.770,0
2003-09-08,6.979,7.077,6.956,7.025,5.514.292.631.317.810,6.996.281.092.398.470,6.851.313.043.672.940,19.234.591.239.585.800,1
2003-09-15,7.018,7.059,6.936,6.968,5.160.652.800.579.390,6.992.510.280.078.670,6.856.740.343.967.220,1.926.766.283.577.140,0
2003-09-22,6.963,698,6.901,6.907,4.805.473.830.293.680,698.110.890.940.152,6.859.078.002.387.350,18.866.387.829.277.900,1
2003-09-29,6.908,7.057,6.896,6.965,51.474.497.201.333.900,6.978.961.054.814.650,6.864.004.606.927.470,19.024.016.301.699.200,0
2003-10-06,6.958,7.118,6.945,7.086,5.772.700.984.129.220,6.993.232.914.172.690,687.432.997.404.713,19.107.390.387.860.900,0
2003-10-13,709,7.097,6.912,6.964,5.064.179.864.600.000,6.989.335.192.283.000,6.878.500.672.928.650,1.995.091.683.503.910,1
2003-10-20,6.965,6.993,693,6.942,4.946.283.536.487.220,6.983.023.833.311.930,6.881.454.130.001.740,19.232.790.086.325.100,1
2003-10-27,6.926,6.946,6.818,6.826,4.368.760.413.697.250,6.962.087.322.203.670,6.878.874.868.141.190,19.501.929.326.215.900,1
2003-11-03,6.828,6.896,6.803,6.872,463.621.277.505.942,6.950.075.679.243.180,6.878.555.106.832.300,18.954.371.825.105.400,1
2003-11-10,6.874,6.993,6.855,6.989,5.253.677.798.252.350,695.526.558.867.743,6.883.692.078.607.540,18.716.225.102.381.500,1
2003-11-17,699,7.033,693,6.981,520.951.799.082.068,6.958.696.843.520.430,6.888.218.028.439.750,18.453.148.997.555.300,1
2003-11-24,698,6.987,6.928,6.972,51.570.012.005.785.900,6.960.470.597.717.710,6.892.114.864.326.270,1.776.164.485.467.520,1
2003-12-01,6.974,7.043,6.937,7.035,5.499.049.614.983.660,6.970.407.851.355.350,6.898.760.684.590.170,17.421.509.219.700.900,1
2003-12-08,7.036,7.064,696,7.005,5.306.840.216.124.780,6.975.020.137.841.300,6.903.702.048.097.600,17.306.863.726.804.800,0
2003-12-15,7.005,7.074,6.988,7.008,5.324.439.917.861.980,6.979.417.452.795.790,6.908.553.115.627.940,16.940.328.861.724.200,0
